iter	Passed	Remaining
0	0	61
1	1	56
2	1	56
3	2	52
4	2	51
5	3	50
6	3	49
7	4	49
8	4	49
9	5	48
10	5	48
11	6	47
12	7	46
13	7	46
14	8	47
15	8	46
16	9	45
17	9	45
18	10	44
19	10	43
20	11	43
21	11	42
22	12	41
23	12	41
24	13	40
25	14	40
26	14	40
27	15	39
28	15	38
29	16	38
30	16	37
31	17	37
32	18	36
33	18	36
34	19	35
35	19	35
36	20	35
37	21	34
38	21	34
39	22	34
40	23	33
41	23	32
42	24	32
43	24	31
44	25	31
45	26	30
46	26	30
47	27	29
48	27	28
49	28	28
50	28	27
51	29	27
52	29	26
53	30	25
54	30	25
55	31	24
56	31	23
57	32	23
58	32	22
59	33	22
60	33	21
61	34	21
62	34	20
63	35	19
64	36	19
65	36	18
66	37	18
67	37	17
68	38	17
69	38	16
70	39	16
71	39	15
72	40	14
73	40	14
74	41	13
75	41	13
76	42	12
77	42	12
78	43	11
79	43	10
80	44	10
81	44	9
82	45	9
83	45	8
84	46	8
85	46	7
86	47	7
87	47	6
88	48	5
89	48	5
90	49	4
91	49	4
92	50	3
93	51	3
94	51	2
95	52	2
96	52	1
97	53	1
98	53	0
99	54	0
