iter	Passed	Remaining
0	106	106085
1	107	53424
2	107	35845
3	108	27046
4	109	21762
5	110	18233
6	110	15740
7	111	13827
8	112	12336
9	112	11144
10	113	10177
11	113	9374
12	114	8687
13	114	8097
14	115	7585
15	116	7136
16	116	6741
17	117	6388
18	117	6072
19	118	5789
20	118	5531
21	119	5297
22	119	5089
23	120	4894
24	120	4714
25	121	4548
26	121	4393
27	122	4249
28	122	4115
29	123	3992
30	123	3875
31	124	3765
32	125	3664
33	125	3567
34	126	3476
35	126	3391
36	127	3310
37	127	3233
38	128	3160
39	128	3091
40	129	3026
41	130	2965
42	130	2906
43	131	2850
44	131	2798
45	132	2746
46	132	2696
47	133	2650
48	134	2605
49	134	2563
50	135	2521
51	136	2482
52	137	2449
53	137	2412
54	138	2376
55	138	2341
56	139	2306
57	139	2273
58	140	2241
59	141	2214
60	141	2185
61	142	2157
62	143	2129
63	143	2104
64	144	2078
65	145	2053
66	145	2028
67	146	2004
68	146	1981
69	147	1959
70	148	1937
71	148	1915
72	149	1894
73	149	1874
74	150	1857
75	151	1840
76	152	1822
77	152	1803
78	153	1784
79	153	1766
80	154	1748
81	154	1731
82	154	1712
83	155	1695
84	156	1679
85	156	1664
86	157	1649
87	157	1634
88	158	1619
89	158	1605
90	159	1591
91	159	1576
92	160	1563
93	160	1549
94	161	1536
95	162	1525
96	162	1513
97	163	1501
98	163	1489
99	164	1477
100	164	1466
101	165	1455
102	165	1443
103	166	1432
104	166	1421
105	167	1411
106	167	1400
107	168	1391
108	169	1381
109	169	1372
110	170	1362
111	170	1353
112	171	1343
113	171	1334
114	172	1325
115	172	1316
116	173	1307
117	173	1298
118	174	1289
119	174	1281
120	175	1273
121	175	1265
122	176	1257
123	176	1250
124	177	1242
125	178	1234
126	178	1226
127	178	1219
128	179	1212
129	180	1204
130	180	1197
131	181	1190
132	181	1184
133	182	1177
134	182	1171
135	183	1165
136	184	1159
137	184	1153
138	185	1146
139	185	1140
140	186	1134
141	186	1127
142	187	1121
143	187	1115
144	188	1109
145	188	1103
146	189	1098
147	189	1092
148	190	1087
149	190	1081
150	191	1076
151	191	1070
152	192	1065
153	192	1059
154	193	1054
155	194	1050
156	194	1044
157	195	1040
158	195	1035
159	196	1030
160	196	1024
161	197	1020
162	197	1015
163	198	1010
164	198	1005
165	199	1001
166	199	996
167	200	992
168	200	988
169	201	983
170	202	979
171	202	974
172	203	970
173	203	966
174	204	961
175	204	957
176	205	953
177	205	949
178	206	945
179	206	941
180	207	937
181	207	933
182	208	929
183	208	926
184	209	922
185	209	918
186	210	914
187	210	910
188	211	906
189	211	903
190	212	899
191	212	896
192	213	892
193	213	889
194	214	885
195	215	882
196	215	878
197	216	875
198	216	871
199	217	868
200	217	864
201	218	861
202	218	858
203	219	855
204	219	852
205	220	848
206	220	845
207	221	842
208	221	839
209	222	836
210	222	833
211	223	830
212	223	827
213	224	824
214	225	821
215	225	818
216	226	816
217	226	813
218	227	810
219	227	807
220	228	805
221	228	802
222	229	799
223	230	796
224	230	794
225	231	791
226	231	788
227	232	786
228	232	783
229	233	780
230	233	778
231	234	775
232	234	773
233	235	770
234	235	767
235	236	765
236	237	763
237	237	760
238	238	758
239	238	755
240	239	753
241	239	750
242	240	748
243	240	746
244	241	743
245	241	741
246	242	738
247	242	736
248	243	733
249	243	731
250	244	729
251	244	727
252	245	724
253	245	722
254	246	720
255	246	717
256	247	715
257	248	713
258	248	711
259	249	709
260	249	707
261	250	705
262	250	703
263	251	701
264	252	699
265	252	696
266	253	694
267	253	692
268	254	691
269	254	689
270	255	687
271	256	685
272	256	683
273	257	681
274	257	679
275	258	677
276	258	675
277	259	673
278	259	671
279	260	669
280	260	667
281	261	666
282	262	664
283	262	662
284	263	660
285	263	658
286	264	656
287	264	654
288	265	653
289	266	651
290	266	649
291	267	647
292	267	645
293	268	643
294	268	642
295	269	640
296	269	638
297	270	636
298	270	634
299	271	632
300	271	631
301	272	629
302	273	628
303	273	626
304	274	624
305	274	622
306	275	621
307	275	619
308	276	617
309	276	616
310	277	614
311	277	612
312	278	610
313	278	609
314	279	607
315	279	605
316	280	604
317	281	602
318	281	600
319	282	599
320	282	597
321	283	595
322	283	594
323	284	592
324	284	591
325	285	589
326	285	587
327	286	586
328	286	584
329	287	582
330	287	581
331	288	580
332	288	578
333	289	577
334	289	575
335	290	574
336	291	572
337	291	571
338	292	569
339	292	568
340	293	566
341	293	565
342	294	563
343	294	562
344	295	560
345	295	559
346	296	557
347	296	556
348	297	555
349	298	553
350	298	552
351	299	550
352	299	549
353	300	547
354	300	546
355	301	544
356	301	543
357	302	542
358	302	540
359	303	539
360	303	537
361	304	536
362	304	535
363	305	534
364	306	532
365	306	531
366	307	530
367	308	529
368	308	527
369	309	526
370	309	524
371	310	523
372	310	522
373	311	520
374	311	519
375	312	518
376	312	517
377	313	515
378	313	514
379	314	513
380	315	511
381	315	510
382	316	509
383	316	508
384	317	506
385	317	505
386	318	504
387	318	502
388	319	501
389	319	500
390	320	499
391	320	497
392	321	496
393	322	495
394	322	494
395	323	493
396	324	492
397	324	490
398	325	489
399	325	488
400	326	487
401	326	485
402	327	484
403	327	483
404	328	482
405	328	480
406	329	479
407	329	478
408	330	477
409	330	476
410	331	475
411	332	474
412	333	473
413	333	472
414	334	471
415	334	469
416	335	468
417	335	467
418	336	466
419	337	465
420	337	464
421	338	463
422	339	462
423	339	461
424	340	460
425	341	459
426	341	458
427	342	457
428	343	456
429	343	455
430	344	454
431	344	453
432	345	452
433	345	450
434	346	449
435	346	448
436	347	447
437	347	446
438	348	445
439	348	443
440	349	442
441	349	441
442	350	440
443	350	439
444	351	438
445	352	437
446	352	436
447	353	435
448	353	433
449	354	432
450	354	431
451	355	430
452	355	429
453	356	428
454	356	427
455	357	426
456	357	425
457	358	424
458	359	423
459	359	422
460	360	421
461	360	420
462	361	419
463	361	418
464	362	417
465	363	416
466	363	415
467	364	414
468	364	413
469	365	412
470	366	411
471	366	410
472	367	409
473	368	408
474	368	407
475	369	406
476	369	405
477	370	404
478	370	403
479	371	402
480	371	401
481	372	400
482	372	399
483	373	398
484	374	397
485	374	396
486	375	395
487	375	394
488	376	393
489	376	392
490	377	391
491	377	390
492	378	388
493	378	387
494	379	386
495	379	385
496	380	384
497	380	383
498	381	382
499	381	381
500	382	380
501	382	379
502	383	378
503	383	377
504	384	376
505	384	375
506	385	374
507	385	373
508	386	372
509	386	371
510	387	370
511	387	369
512	388	368
513	388	367
514	389	366
515	389	365
516	390	364
517	390	363
518	391	362
519	391	361
520	392	360
521	392	359
522	393	358
523	393	357
524	394	356
525	394	355
526	395	354
527	395	353
528	396	352
529	396	352
530	397	351
531	397	350
532	398	349
533	399	348
